HI,TI
0.3347104489803314,0.6522907111136793
0.35936614871025085,0.3004466759744494
0.7516838312149048,0.1679286977123234
0.7132111191749573,0.02313513240314734
0.06837329268455505,0.49956655647433373
0.04660069942474365,0.4993528179892177
0.2380703240633011,0.42656902633139154
0.17747154831886292,0.4410355348484271
0.03309275954961777,1.0
0.051727768033742905,0.4999328590742487
0.056199077516794205,1.0
0.17091602087020874,0.6395454466255734
0.10208241641521454,0.30330794165065217
0.10207193344831467,0.5361256054169117
0.08187373727560043,0.3997642074014204
0.7927310466766357,0.39490024182445815
0.3663487434387207,0.7166581664747831
0.17086295783519745,0.6020776969343475
0.15386280417442322,0.6689860780418602
0.07887301594018936,0.449555511132413
0.13858544826507568,0.8592124839085885
0.22590216994285583,0.6814888008550439
0.06056772917509079,0.33177409831582755
0.40656110644340515,0.5321038844765377
0.12128257006406784,0.6450175960677577
0.34335994720458984,0.6210067948094591
0.8526542782783508,0.3943523428937428
0.445706307888031,0.3245796741860029
0.8919975161552429,0.4126905101967866
0.9334729313850403,0.28530293968182097
0.2084570825099945,0.6314975369494882
0.2054687738418579,0.507907495638212
0.06915365904569626,0.7821855491350018
0.06901520490646362,0.4991405610167331
0.3510764539241791,0.4517867895654459
0.8008791208267212,0.13364940935279063
0.2820979654788971,0.6028523235315867
0.7451035380363464,0.5096913436875353
0.12735211849212646,0.6497096682433278
0.3016405999660492,0.21763456012754503
0.5907222628593445,0.46833791603852043
0.323851078748703,0.5587230774007774
0.7146943807601929,0.5036663134556186
0.4229046404361725,0.7681888977749735
0.7465609312057495,0.6702609503007317
0.19322367012500763,0.475452676708746
0.34878504276275635,0.4991405610167331
0.8199164867401123,0.4396316246844926
0.5736343264579773,0.6780839472696286
0.445420503616333,0.24766637001878772
0.1283789873123169,0.7098414747942671
0.030366715043783188,0.8977773288229763
0.1350606232881546,0.6751041588294859
0.023014726117253304,0.7064226927090286
0.05338921770453453,0.6480864043854037
0.03280749171972275,0.7296409455992785
0.10133986175060272,0.4396011419154772
0.03547447547316551,0.3065047234045465
0.019631002098321915,0.4821939882356051
0.18057124316692352,0.4324561143079511
0.2178017646074295,0.4999862669955467
0.2382974773645401,0.49304228526630406
0.17291511595249176,0.33175326960895657
0.06512249261140823,0.6961642082975815
0.3768243193626404,0.6595812694672214
0.29084888100624084,0.4560233808431788
0.24240978062152863,0.7009909938357731
0.15610146522521973,0.5987535592677204
